Category,Price,Address,SquareFeet
House1,60,  3 BHK House  for sale in R.P. Road Nalgonda ,1660
House2,55,  4 BHK House  for sale in Suryapet Nalgonda ,882
House3,80,  4 BHK House  for sale in Kodad Nalgonda ,1915
House4,60,  4 BHK House  for sale in Miryalaguda Nalgonda ,2800
House5,45,  1 BHK House  for sale in Choutuppal Nalgonda ,48
House6,46,  2 BHK House  for sale in Miryalaguda Nalgonda ,2169
House7,50,  3 BHK House  for sale in Srisailam Road Nalgonda ,255
House8,76,  3 BHK House  for sale in Nalgonda ,180
House9,47,  2 BHK House  for sale in R.P. Road Nalgonda ,200
House10,60,  5 BHK House  for sale in Ramgiri Nalgonda ,216
House11,70,  2 BHK House  for sale in Nalgonda ,217
House12,62,  2 BHK House  for sale in R.P. Road Nalgonda ,1000
House13,17,  1 BHK House  for sale in Nagarjuna Sagar Dam Rd Nalgonda ,47
House14,35,  1 BHK House  for sale in R.P. Road Nalgonda ,83
House15,88,  3 BHK House  for sale in Ramgiri Nalgonda ,1600
