,Category,Price,Address,SquareFeet
0,House,₹60Lac,  3 BHK House  for sale in R.P. Road Nalgonda ,1660 sqft
1,House,₹55Lac,  4 BHK House  for sale in Suryapet Nalgonda ,882 sqft
2,House,₹80Lac,  4 BHK House  for sale in Kodad Nalgonda ,1915 sqft
3,House,₹60Lac,  4 BHK House  for sale in Miryalaguda Nalgonda ,2800 sqft
4,House,₹45Lac,  1 BHK House  for sale in Choutuppal Nalgonda ,48 sqft
5,House,₹76Lac,  3 BHK House  for sale in Nalgonda ,180 sqyrd
6,House,₹50Lac,  3 BHK House  for sale in Srisailam Road Nalgonda ,255 sqft
7,House,₹46Lac,  2 BHK House  for sale in Miryalaguda Nalgonda ,2169 sqft
8,House,₹47Lac,  2 BHK House  for sale in R.P. Road Nalgonda ,200 sqyrd
9,House,₹60Lac,  5 BHK House  for sale in Ramgiri Nalgonda ,216 sqft
10,House,₹70Lac,  2 BHK House  for sale in Nalgonda ,217 sqyrd
11,House,₹62Lac,  2 BHK House  for sale in R.P. Road Nalgonda ,1000 sqft
12,House,₹17Lac,  1 BHK House  for sale in Nagarjuna Sagar Dam Rd Nalgonda ,47 sqyrd
13,House,₹35Lac,  1 BHK House  for sale in R.P. Road Nalgonda ,83 sqyrd
14,House,₹88Lac,  3 BHK House  for sale in Ramgiri Nalgonda ,1600 sqft
